"rental_id","rental_date","inventory_id","customer_id","return_date","staff_id","last_update"
1,"2005-05-24 22:53:30",367,130,"2005-05-26 22:04:30",1,"2006-02-15 21:30:53"
2,"2005-05-24 22:54:33",1525,459,"2005-05-28 19:40:33",1,"2006-02-15 21:30:53"
3,"2005-05-24 23:03:39",1711,408,"2005-06-01 22:12:39",1,"2006-02-15 21:30:53"
4,"2005-05-24 23:04:41",2452,333,"2005-06-03 01:43:41",2,"2006-02-15 21:30:53"
5,"2005-05-24 23:05:21",2079,222,"2005-06-02 04:33:21",1,"2006-02-15 21:30:53"
6,"2005-05-24 23:08:07",2792,549,"2005-05-27 01:32:07",1,"2006-02-15 21:30:53"
7,"2005-05-24 23:11:53",3995,269,"2005-05-29 20:34:53",2,"2006-02-15 21:30:53"
8,"2005-05-24 23:31:46",2346,239,"2005-05-27 23:33:46",2,"2006-02-15 21:30:53"
9,"2005-05-25 00:00:40",2580,126,"2005-05-28 00:22:40",1,"2006-02-15 21:30:53"
10,"2005-05-25 00:02:21",1824,399,"2005-05-31 22:44:21",2,"2006-02-15 21:30:53"
11,"2005-05-25 00:09:02",4443,142,"2005-06-02 20:56:02",2,"2006-02-15 21:30:53"
12,"2005-05-25 00:19:27",1584,261,"2005-05-30 05:44:27",2,"2006-02-15 21:30:53"
13,"2005-05-25 00:22:55",2294,334,"2005-05-30 04:28:55",1,"2006-02-15 21:30:53"
14,"2005-05-25 00:31:15",2701,446,"2005-05-26 02:56:15",1,"2006-02-15 21:30:53"
15,"2005-05-25 00:39:22",3049,319,"2005-06-03 03:30:22",1,"2006-02-15 21:30:53"
16,"2005-05-25 00:43:11",389,316,"2005-05-26 04:42:11",2,"2006-02-15 21:30:53"
17,"2005-05-25 01:06:36",830,575,"2005-05-27 00:43:36",1,"2006-02-15 21:30:53"
18,"2005-05-25 01:10:47",3376,19,"2005-05-31 06:35:47",2,"2006-02-15 21:30:53"
19,"2005-05-25 01:17:24",1941,456,"2005-05-31 06:00:24",1,"2006-02-15 21:30:53"
20,"2005-05-25 01:48:41",3517,185,"2005-05-27 02:20:41",2,"2006-02-15 21:30:53"
